antecedents,consequents,support,confidence,lift
"grade_Grade A, loan_amnt_Loan Small(<10k)","int_rate_IntRate Low, revol_util_Util Excellent(<30)",0.042216,0.5148795004390672,5.353513355089286
"grade_Grade A, revol_util_Util Moderate(30-60)","fico_range_low_FICO Good(670-739), int_rate_IntRate Low",0.058296,0.7735258213470623,4.825368183869786
"grade_Grade A, revol_util_Util Excellent(<30)","int_rate_IntRate Low, loan_amnt_Loan Small(<10k)",0.042216,0.5241098475443214,4.80975926459439
"int_rate_IntRate Low, revol_util_Util Moderate(30-60)","fico_range_low_FICO Good(670-739), grade_Grade A",0.058296,0.5727647867950482,4.755128904418758
"emp_length_Emp Long(8+), grade_Grade A","home_Home MORTGAGE, int_rate_IntRate Low",0.051484,0.6499520274705852,4.724312579741999
"fico_range_low_FICO VeryGood(740-799), int_rate_IntRate Low",grade_Grade A,0.053792,0.8901833587078837,4.702699314856854
"int_rate_IntRate Low, revol_util_Util Excellent(<30)","dti_DTI Healthy(<20), grade_Grade A",0.060452,0.6285559807020462,4.698289636294671
"annual_inc_Inc Low(<50k), int_rate_IntRate High","grade_Grade C, loan_amnt_Loan Small(<10k)",0.046684,0.5295372050816697,4.687995370601559
"annual_inc_Inc Low(<50k), grade_Grade B","int_rate_IntRate Medium, loan_amnt_Loan Small(<10k)",0.046896,0.5156126308382443,4.594003981238143
"int_rate_IntRate Low, purpose_credit_card","fico_range_low_FICO Good(670-739), grade_Grade A",0.043136,0.5493912068877681,4.561079989437851
"home_Home MORTGAGE, int_rate_IntRate Low, revol_util_Util Excellent(<30)",grade_Grade A,0.0429,0.8486311125178034,4.483185303751894
"dti_DTI Healthy(<20), int_rate_IntRate Low, revol_util_Util Excellent(<30)",grade_Grade A,0.060452,0.8442545109211775,4.460064402727942
"int_rate_IntRate Low, loan_amnt_Loan Small(<10k), revol_util_Util Excellent(<30)",grade_Grade A,0.042216,0.8429712460063897,4.453285115094086
"grade_Grade A, loan_amnt_Loan Medium(10-25k)","annual_inc_Inc Mid(50-100k), int_rate_IntRate Low",0.046512,0.5498912323843752,4.4472311107690805
"annual_inc_Inc Low(<50k), int_rate_IntRate Medium","grade_Grade B, loan_amnt_Loan Small(<10k)",0.046896,0.5851175325647552,4.424262261173783
