orig_index,dbscan_label,is_noise
1758049,0,0
686533,0,0
900721,0,0
1727912,0,0
539691,0,0
2153213,0,0
47643,0,0
1360732,1,0
1779694,0,0
511378,0,0
506300,0,0
1262689,1,0
1094496,0,0
578794,0,0
1421198,0,0
1228621,2,0
992325,1,0
93762,0,0
754133,2,0
1815417,0,0
61995,1,0
1526554,0,0
380883,0,0
1224208,0,0
240099,1,0
1457106,2,0
1008545,1,0
1893124,0,0
1204365,0,0
893665,1,0
453814,1,0
2027330,1,0
1476445,0,0
1241147,2,0
2083388,0,0
1919480,1,0
1603436,2,0
1163963,0,0
1446002,0,0
2171333,0,0
1181992,2,0
483174,1,0
679971,0,0
1631098,0,0
2171453,0,0
1019881,2,0
1019177,0,0
143921,1,0
1960124,1,0
1024779,2,0
201348,0,0
1042736,0,0
353572,1,0
988718,1,0
839648,0,0
1992124,0,0
1968152,2,0
541431,0,0
2059606,1,0
1966993,0,0
1065061,1,0
1434536,1,0
1536357,2,0
50034,0,0
250473,1,0
1308589,2,0
2081821,0,0
2084069,2,0
964186,0,0
771616,0,0
1603894,1,0
1831534,0,0
1547553,0,0
1764474,0,0
339003,0,0
19914,0,0
392562,0,0
633219,2,0
903470,0,0
1735833,0,0
106977,0,0
448554,1,0
543931,2,0
1299040,2,0
1387270,0,0
837324,1,0
1830585,2,0
222885,1,0
1351891,2,0
87715,1,0
1905031,1,0
974116,1,0
671455,0,0
1295712,2,0
35413,1,0
515713,2,0
755134,2,0
765186,0,0
543113,1,0
2097449,2,0
2166495,0,0
1513375,1,0
752370,0,0
1382772,2,0
1880999,2,0
2049237,0,0
879534,0,0
604098,1,0
630914,0,0
289353,0,0
1348365,1,0
295992,1,0
124478,0,0
1421978,0,0
1272249,2,0
1553125,1,0
412632,1,0
421134,0,0
2225202,0,0
1326039,0,0
1455417,1,0
1391628,2,0
311647,2,0
780058,2,0
177721,0,0
7332,2,0
1045970,1,0
1562429,1,0
713419,2,0
442875,1,0
1859023,0,0
2188002,0,0
2158552,2,0
207977,0,0
714232,1,0
1492135,0,0
1640435,1,0
1705627,1,0
1920111,2,0
274751,2,0
1014054,1,0
1696602,2,0
2178853,2,0
1972085,2,0
607741,2,0
1807119,0,0
388553,2,0
645535,0,0
1640132,2,0
126245,1,0
792820,0,0
627714,1,0
380610,0,0
1129849,2,0
928780,1,0
1918737,0,0
1495746,1,0
76928,2,0
1584022,0,0
210075,0,0
130342,0,0
1538250,1,0
976211,0,0
837358,0,0
269703,1,0
683552,1,0
1157597,0,0
353880,1,0
1443328,2,0
1080517,2,0
36840,0,0
223575,1,0
1788246,0,0
1445332,0,0
678265,2,0
1282919,1,0
155368,2,0
2040583,2,0
1649474,2,0
1470395,2,0
2206485,0,0
185860,2,0
2086754,1,0
1829724,1,0
1213342,1,0
270283,2,0
1710968,0,0
130525,0,0
942128,1,0
917665,0,0
378323,1,0
1817068,1,0
1904895,2,0
1716382,2,0
1319646,0,0
2074307,2,0
1624046,1,0
1562254,2,0
350164,0,0
1163368,2,0
738630,2,0
991625,0,0
570247,0,0
105390,2,0
973530,2,0
966732,0,0
534418,0,0
741661,0,0
1880592,0,0
938249,0,0
2218741,0,0
1651875,2,0
837469,1,0
1490891,2,0
619275,2,0
1113565,1,0
1068718,1,0
2086417,1,0
1208802,1,0
1112428,2,0
1096563,2,0
914896,2,0
563157,0,0
276497,0,0
193754,1,0
229306,1,0
672146,1,0
283917,0,0
535737,2,0
1339858,1,0
1924114,0,0
1160594,0,0
1555752,1,0
1552277,0,0
731687,1,0
2117472,2,0
1007120,2,0
759722,0,0
814588,1,0
1046759,0,0
1537192,2,0
934955,0,0
283164,2,0
871061,0,0
1380860,1,0
559918,1,0
1857037,2,0
91203,0,0
1422623,0,0
77608,1,0
763182,1,0
1286018,0,0
633218,0,0
1155605,1,0
709956,1,0
207489,0,0
2014325,1,0
1683045,0,0
1807263,1,0
232379,1,0
831770,2,0
1445541,0,0
623526,2,0
1008232,1,0
2161962,0,0
2231688,1,0
1450048,0,0
1308920,0,0
2032199,0,0
1476911,2,0
1231494,0,0
1415311,1,0
410593,2,0
619225,2,0
2051315,2,0
1917434,2,0
1964578,1,0
60386,2,0
1322830,1,0
1057832,0,0
982241,1,0
707652,2,0
781271,1,0
970591,2,0
1959952,0,0
571581,0,0
749893,0,0
1130181,2,0
1145838,1,0
1945728,2,0
978548,-1,1
1273294,0,0
766193,0,0
1640708,1,0
1560562,0,0
1100773,1,0
712471,0,0
1843357,2,0
1472681,0,0
1888030,1,0
594966,0,0
119691,2,0
602873,1,0
937593,0,0
1869916,0,0
2189518,0,0
2015993,2,0
524986,0,0
1351380,2,0
2093368,1,0
1037197,1,0
1795438,0,0
5816,0,0
1760181,1,0
906255,1,0
1936893,2,0
1170566,1,0
52757,0,0
1806343,0,0
453438,2,0
1290640,0,0
1759688,0,0
186704,0,0
797550,1,0
1146738,2,0
1444471,1,0
1018830,2,0
994249,2,0
1374123,1,0
55846,0,0
2101791,0,0
459729,1,0
2051379,0,0
829258,2,0
1747000,1,0
1746528,1,0
1390865,1,0
414752,2,0
71166,2,0
758880,2,0
415790,0,0
402945,0,0
795868,0,0
567623,0,0
227005,1,0
607941,2,0
94168,0,0
5498,2,0
421878,0,0
932769,1,0
260663,1,0
2042108,0,0
867215,0,0
800539,2,0
1747781,1,0
1161231,2,0
429942,1,0
1331386,0,0
1378241,1,0
1384891,0,0
577355,0,0
1545926,1,0
454509,1,0
489644,0,0
1347268,0,0
385475,2,0
1447487,0,0
841485,1,0
2064867,0,0
463120,0,0
388694,1,0
1849003,0,0
1299168,2,0
1251589,0,0
1309819,0,0
149562,2,0
238817,1,0
885506,0,0
2167921,1,0
2006531,0,0
371301,0,0
315561,0,0
1774298,1,0
644854,1,0
1319369,0,0
2063778,0,0
66775,1,0
1783375,0,0
2076898,0,0
698158,0,0
1031271,1,0
999101,2,0
1848975,0,0
2037799,0,0
1731728,1,0
1019460,0,0
191972,0,0
1332061,1,0
2107104,0,0
1865784,2,0
1195894,0,0
202118,0,0
718407,1,0
632812,1,0
383822,1,0
557985,0,0
1709793,1,0
268564,2,0
2090496,2,0
1806817,1,0
1442914,0,0
871540,0,0
1179547,0,0
1289753,2,0
1896547,1,0
19239,1,0
394181,2,0
1501184,0,0
1299135,0,0
1080843,0,0
246833,1,0
1099411,1,0
2119575,2,0
2201550,2,0
1370117,2,0
961902,2,0
1870440,0,0
1906716,2,0
297297,1,0
761396,1,0
329745,1,0
956763,0,0
1457674,0,0
2225980,2,0
1516655,0,0
526975,2,0
1653561,2,0
1314697,0,0
