UMAP1,UMAP2,kmeans_cluster,is_noise
13.28,-3.55,1,0
14.41,9.29,1,0
-4.09,8.48,1,0
10.42,-1.85,0,0
11.97,-2.28,0,0
-6.1,2.1,1,0
11.07,13.71,0,0
11.59,-2.69,0,0
13.46,12.28,1,0
10.87,-1.21,0,0
10.64,12.46,0,0
13.43,-1.78,1,0
12.27,11.93,1,0
9.63,-2.3,0,0
13.07,-2.55,1,0
12.39,-1.45,0,0
-1.32,0.68,0,0
-3.65,9.73,1,0
10.66,14.06,0,0
12.63,-2.57,0,0
10.31,-4.16,0,0
11.72,-1.06,0,0
10.57,14.26,0,0
15.03,-0.6,1,0
12.14,11.49,1,0
14.95,-0.76,1,0
10.44,-4.25,0,0
12.37,10.83,1,0
5.86,5.07,0,0
-3.71,10.96,0,0
10.48,-1.37,0,0
10.04,11.34,0,0
9.19,14.45,0,0
10.59,13.29,0,0
-3.74,-0.14,0,0
10.2,-2.08,0,0
10.76,12.18,0,0
8.25,11.63,0,0
-1.5,10.17,0,0
9.15,13.77,0,0
11.13,-1.25,0,0
8.75,13.1,0,0
-3.19,-0.73,0,0
10.96,8.2,0,0
14.0,10.13,1,0
8.74,15.73,0,0
-5.06,3.51,1,0
10.88,12.03,0,0
-2.43,9.91,0,0
1.19,8.92,1,0
-2.04,3.21,1,0
10.6,-2.18,0,0
12.78,12.02,1,0
13.13,-3.26,1,0
10.35,-4.05,0,0
9.18,-2.13,0,0
9.31,13.2,0,0
11.83,-0.78,1,0
13.82,-1.93,1,0
10.44,8.6,1,0
13.82,11.91,1,0
-1.95,8.01,1,0
12.13,-1.85,0,0
-4.1,0.24,0,0
14.14,-1.39,1,0
-1.73,-1.35,0,0
11.29,-3.21,0,0
15.33,-0.77,1,0
-5.69,-1.76,0,0
-2.35,4.03,1,0
-0.79,11.72,0,0
-2.7,6.87,1,0
-4.54,0.33,0,0
12.53,12.87,1,0
-1.71,10.48,0,0
-3.13,0.23,0,0
11.12,-1.16,0,0
14.08,-2.25,1,0
12.49,-0.61,1,0
-2.7,11.25,0,0
-1.88,2.38,1,0
11.22,-3.28,0,0
12.83,12.2,1,0
10.23,-4.34,0,0
10.73,-2.51,0,0
11.82,10.84,0,0
-2.85,11.74,0,0
9.79,-2.26,0,0
9.17,12.17,0,0
9.75,-1.87,0,0
9.25,14.38,0,0
2.16,1.89,0,1
-2.59,-1.42,0,0
-2.08,9.81,0,0
-3.95,-1.08,0,0
8.54,13.37,0,0
12.4,12.03,1,0
10.88,-3.5,0,0
11.91,-1.01,0,0
10.72,-1.42,0,0
12.27,10.78,1,0
10.89,-2.16,0,0
11.59,9.34,1,0
10.98,-4.29,0,0
-3.0,10.4,0,0
9.89,-3.08,0,0
12.04,0.56,1,0
-1.29,8.88,1,0
-2.39,-0.12,0,0
-1.87,1.32,0,0
14.98,12.5,1,0
10.04,-2.03,0,0
12.37,13.58,0,0
10.33,-3.79,0,0
12.77,-2.13,0,0
9.49,12.56,0,0
8.96,11.79,0,0
-3.18,5.44,1,0
12.71,-2.87,0,0
11.28,-3.66,0,0
-4.78,-0.99,0,0
10.09,-4.17,0,0
11.46,-3.5,0,0
